supplier_id,sku_id,unit_cost,lead_time_min,lead_time_max,reliability,moq,country
SUP-0001,GRO-1000,40.97,5,8,0.81,20,IN
SUP-0002,GRO-1000,35.12,2,4,0.894,20,CN
SUP-0003,GRO-1000,36.34,3,6,0.778,10,CN
SUP-0004,GRO-1001,46.01,2,4,0.816,50,CN
SUP-0005,GRO-1001,44.05,5,7,0.815,50,CN
SUP-0006,GRO-1001,38.71,4,8,0.863,100,IN
SUP-0007,FRO-1000,28.9,5,6,0.74,10,SA
SUP-0008,FRO-1000,22.33,5,6,0.746,100,TR
SUP-0009,FRO-1000,25.78,4,5,0.836,10,AE
SUP-0010,FRO-1001,35.28,4,8,0.799,20,TR
SUP-0011,FRO-1001,27.53,4,6,0.909,10,IN
SUP-0012,FRO-1001,36.02,3,5,0.847,50,CN
SUP-0013,FRO-1001,32.96,2,5,0.926,100,SA
SUP-0014,APP-1000,38.61,4,6,0.955,10,CN
SUP-0015,APP-1000,38.07,2,6,0.975,10,AE
SUP-0016,APP-1000,36.88,5,7,0.737,50,AE
SUP-0017,APP-1001,38.99,3,6,0.761,100,IN
SUP-0018,APP-1001,39.18,2,4,0.85,20,SA
SUP-0019,APP-1001,37.94,3,5,0.871,10,SA
SUP-0020,APP-1001,42.53,2,3,0.717,50,SA
SUP-0021,APP-1001,40.12,5,7,0.781,20,AE
SUP-0022,COS-1000,20.26,5,7,0.928,10,SA
SUP-0023,COS-1000,21.44,5,9,0.803,10,SA
SUP-0024,COS-1000,17.64,2,4,0.911,20,CN
SUP-0025,COS-1000,20.66,3,6,0.741,100,CN
SUP-0026,COS-1000,22.81,2,3,0.722,10,SA
SUP-0027,COS-1001,41.07,3,7,0.841,10,CN
SUP-0028,COS-1001,44.11,4,8,0.986,50,TR
SUP-0029,COS-1001,48.64,5,7,0.912,20,IN
SUP-0030,DRY-1000,20.72,2,5,0.868,10,SA
SUP-0031,DRY-1000,18.55,3,4,0.846,10,CN
SUP-0032,DRY-1000,15.65,3,7,0.72,10,AE
SUP-0033,DRY-1001,41.29,2,6,0.712,50,IN
SUP-0034,DRY-1001,36.59,3,6,0.908,100,CN
SUP-0035,DRY-1001,42.45,4,5,0.787,10,TR
